Date,Open,High,Low,Close,Adj Close,Volume,Day
2014-03-04,186.789993,187.979996,186.75,187.580002,156.558456,167545900,0
2014-03-05,187.740005,188.070007,187.449997,187.75,156.700394,88376900,1
2014-03-06,188.210007,188.610001,187.779999,188.179993,157.059265,82516500,2
2014-03-07,188.960007,188.960007,187.429993,188.259995,157.125992,114513500,3
2014-03-10,187.970001,188.229996,187.080002,188.160004,157.042572,74939200,4
2014-03-11,188.440002,188.710007,186.800003,187.229996,156.266342,99009100,5
2014-03-12,186.320007,187.350006,185.899994,187.279999,156.30809,104824400,6
2014-03-13,187.839996,187.990005,184.660004,185.179993,154.55542,155014300,7
2014-03-14,184.850006,185.800003,184.440002,184.660004,154.121384,153919600,8
2014-03-17,185.589996,186.770004,185.509995,186.330002,155.515198,98359500,9
2014-03-18,186.710007,187.910004,186.509995,187.660004,156.62529,101804600,10
2014-03-19,187.679993,187.940002,185.470001,186.660004,155.790634,176267300,11
2014-03-20,186.25,187.889999,185.919998,187.75,156.700394,117241000,12
2014-03-21,187.710007,189.020004,186.029999,186.199997,156.09259,163128000,13
2014-03-24,186.839996,187.070007,184.619995,185.429993,155.447113,121411000,14
2014-03-25,186.369995,186.940002,185.270004,186.309998,156.18483,103852000,15
2014-03-26,187.039993,187.339996,184.919998,184.970001,155.061493,119843000,16
2014-03-27,184.75,185.339996,183.899994,184.580002,154.734589,142383000,17
2014-03-28,185.110001,186.419998,185,185.490005,155.497406,101642000,18
2014-03-31,186.669998,187.300003,185.520004,187.009995,156.771606,99745000,19
2014-04-01,187.619995,188.360001,187,188.25,157.811127,89193000,20
2014-04-02,188.490005,189.130005,188.139999,188.880005,158.33934,78774000,21
2014-04-03,189.169998,189.220001,188.050003,188.630005,158.129684,77435000,22
2014-04-04,189.660004,189.699997,186.100006,186.399994,156.260254,169381000,23
2014-04-07,185.949997,186.259995,183.960007,184.339996,154.53331,140803000,24
2014-04-08,184.259995,185.399994,183.589996,185.100006,155.170471,112660000,25
2014-04-09,185.600006,187.149994,185.059998,187.089996,156.838669,100254000,26
2014-04-10,187.080002,187.169998,182.929993,183.160004,153.544174,172959000,27
2014-04-11,182.139999,183.419998,181.309998,181.509995,152.160965,167251000,28
2014-04-14,182.929993,183.369995,181.440002,182.940002,153.359726,132382000,29
2014-04-15,183.320007,184.330002,181.509995,184.199997,154.415985,157093000,30
2014-04-16,185.470001,186.139999,184.649994,186.130005,156.03392,105197000,31
2014-04-17,185.880005,186.910004,185.559998,186.389999,156.251862,105255000,32
2014-04-21,186.440002,187.100006,186.210007,187.039993,156.796753,68329000,33
2014-04-22,187.229996,188.399994,187.130005,187.889999,157.509323,85790000,34
2014-04-23,187.820007,187.919998,187.300003,187.449997,157.140427,73869000,35
2014-04-24,188.369995,188.389999,186.929993,187.830002,157.459045,88170000,36
2014-04-25,187.220001,187.330002,185.869995,186.289993,156.16806,100380000,37
2014-04-28,187.050003,187.690002,184.960007,186.880005,156.662674,135121000,38
2014-04-29,187.479996,188.039993,187.080002,187.75,157.391968,84098000,39
2014-04-30,187.440002,188.5,187.179993,188.309998,157.861404,101508000,40
2014-05-01,188.220001,188.839996,187.729996,188.330002,157.878174,93019000,41
2014-05-02,188.309998,189.139999,187.779999,188.059998,157.651825,98122000,42
2014-05-05,187.139999,188.550003,186.619995,188.419998,157.953674,75883000,43
2014-05-06,188,188.130005,186.740005,186.779999,156.578781,85454000,44
